entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	new_matter	see_also_ren	see_also_reg	notes	full_text
fa355169-6b95-5d71-a81a-422e746c2492	14	1	1	772		AMERICAN FEDERAL TAX REPORTS. Vol.11.	A63223	1933-05-15	R259925	1960-07-05	West Pub. Co.|PWH					AMERICAN FEDERAL TAX REPORTS. Vol.11. © 15May33; A63223. West Pub. Co. (PWH); 5Jul60; R259925.
249942fd-cfea-5433-8904-14e389e2cba9	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts as adopted and promulgated by the American Law Institute containing California annotations. Vol.1-2; pocket supplements. Prepared by Orville P. Cockerill.	A64478	1933-06-15	R259992	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts as adopted and promulgated by the American Law Institute containing California annotations. Vol.1-2; pocket supplements. Prepared by Orville P. Cockerill. © 15Jun33; A64478. American Law Institute (PWH); 5Jul60; R259992.
46d32ba0-d729-5924-9641-64a8cc6da353	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts as adopted and promulgated by the American Law Institute containing Florida annotations. Vol.1-2; pocket supplements. Prepared by George W. Thompson.	A64477	1933-06-15	R259991	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts as adopted and promulgated by the American Law Institute containing Florida annotations. Vol.1-2; pocket supplements. Prepared by George W. Thompson. © 15Jun33; A64477. American Law Institute (PWH); 5Jul60; R259991.
51f19682-5386-5561-ba49-7bc8768e0774	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts as adopted and promulgated by the American Law Institute containing Nebraska annotations. Vol.1-2; pocket supplements. Prepared by William Sternberg, assisted by Maurice H. Merrill & Lester B. Orfield.	A64479	1933-06-15	R259993	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts as adopted and promulgated by the American Law Institute containing Nebraska annotations. Vol.1-2; pocket supplements. Prepared by William Sternberg, assisted by Maurice H. Merrill & Lester B. Orfield. © 15Jun33; A64479. American Law Institute (PWH); 5Jul60; R259993.
6dfaf988-c5b3-5744-977a-f22b7be4fe51	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts, containing Connecticut annotations. Vol.1-2; pocket supplements. Prepared by Arthur L. Corbin & Philip R. Shiff.	A63215	1933-04-22	R259917	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts, containing Connecticut annotations. Vol.1-2; pocket supplements. Prepared by Arthur L. Corbin & Philip R. Shiff. © 22Apr33; A63215. American Law Institute (PWH); 5Jul60; R259917.
919949e5-916d-5ace-856c-1e1b72eb2843	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts, containing New York annotations. Vol.1-2; pocket supplements. Prepared by Horace E. Whiteside.	A63217	1933-04-22	R259919	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts, containing New York annotations. Vol.1-2; pocket supplements. Prepared by Horace E. Whiteside. © 22Apr33; A63217. American Law Institute (PWH); 5Jul60; R259919.
9e4b542b-44b7-53ec-96f3-a4c6de5eaaa4	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts, containing Ohio annotations. Vol.1-2; pocket supplements. Prepared by M. L. Ferson. Assisted by Francis J. Amer, Herschel W. Arant, A. C. Brightman & others.	A63219	1933-04-22	R259921	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts, containing Ohio annotations. Vol.1-2; pocket supplements. Prepared by M. L. Ferson. Assisted by Francis J. Amer, Herschel W. Arant, A. C. Brightman & others. © 22Apr33; A63219. American Law Institute (PWH); 5Jul60; R259921.
b770b8d2-9136-5260-a411-8e08c18f65c5	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts, containing Pennsylvania annotations. Vol.1-2; pocket supplements. Prepared by Judson A. Crane.	A63216	1933-04-22	R259918	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts, containing Pennsylvania annotations. Vol.1-2; pocket supplements. Prepared by Judson A. Crane. © 22Apr33; A63216. American Law Institute (PWH); 5Jul60; R259918.
71dc2b5f-8011-54ad-a74c-83146a1d6157	14	1	1	772	AMERICAN LAW INSTITUTE.	Restatement of the law of contracts, containing Rhode Island annotations. Vol.1-2; pocket supplements. Prepared by Gurney Edwards.	A63218	1933-04-22	R259920	1960-07-05	American Law Institute|PWH					AMERICAN LAW INSTITUTE. Restatement of the law of contracts, containing Rhode Island annotations. Vol.1-2; pocket supplements. Prepared by Gurney Edwards. © 22Apr33; A63218. American Law Institute (PWH); 5Jul60; R259920.
11faa4c7-a5c0-52d3-9d44-3eb15f8b5265	14	1	1	772		AMERICAN LAW REPORTS. Vol.82. Editors in chief: George H. Parmele & M. Blair Wailes. Consulting editor: William M. McKinney. Managing editors: Charles Porterfield & Edwin Stacey Oakes. Assisted by publishers editorial staff.	A60281	1933-02-10	R257696	1960-05-23	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PCW					AMERICAN LAW REPORTS. Vol.82. Editors in chief: George H. Parmele & M. Blair Wailes. Consulting editor: William M. McKinney. Managing editors: Charles Porterfield & Edwin Stacey Oakes. Assisted by publishers editorial staff. © 10Feb33; A60281. Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PCW); 23May60; R257696.
