entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
390155b9-043f-cb71-0fa5-74a3bd0fa8d4					C. Newton Stokes, Belle W. Adams & Dorothy F. Kendall.	Workbook for Arithmetic in my world.  No. 2.	A349423	1958-01-01	RE310550	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Dorothy F. Kendall|A						
4d4e432d-ec92-714f-f434-e41090abda42					C. Newton Stokes, Belle W. Adams & Ruth H. Tuttle.	Workbook for Arithmetic in my world.  No. 3.	A349424	1958-01-01	RE310551	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Ruth Tuttle|A						
02fa0dc3-162a-e7ba-b7a7-99d93367dbe2					C. Newton Stokes, Belle W. Adams & Esther R. Unkel.	Workbook for Arithmetic in my world.  No. 4.	A349425	1958-01-01	RE311962	1986-12-09	C. Newton Stokes|A||Belle W. Adams|A||Esther R. Unkel|A						
ee42cc17-5f8e-956c-fede-f2f8d1c58a77					C. Newton Stokes, Belle W. Adams & Esther R. Unkel.	Workbook for Arithmetic in my world.  No. 5.	A349426	1958-01-01	RE311963	1986-12-09	C. Newton Stokes|A||Belle W. Adams|A||Esther R. Unkel|A						
5e28397f-7844-8821-04da-582e22e05ebc					C. Newton Stokes, Belle W. Adams & Arthur R. DeLong.	Workbook for Arithmetic in my world.  No. 6.	A349427	1958-01-01	RE310552	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Arthur R. DeLong|A						
1022a4cd-96b8-5af2-be64-002046e16922					C. Newton Stokes, Paul J. Whiteley & Humphrey C. Jackson.	Workbook for Arithmetic in my world.  No. 7.	A349428	1958-01-01	RE310910	1986-11-19	C. Newton Stokes|A||Paul J. Whiteley|A||Humphrey C. Jackson|A						
52c1b73f-0fb8-e42c-1f50-b128b38f2e93					C. Newton Stokes, Paul J. Whiteley & Anne Beattie.	Workbook for Arithmetic in my world.  No. 8.	A349429	1958-01-01	RE311964	1986-12-09	C. Newton Stokes|A||Paul J. Whiteley|A						
97ce32ec-f561-23e9-333c-f4315bd28695					C. Newton Stokes, Paul J. Whiteley & Anne Beattie.	Teacher's manual, Arithmetic in my world.  No. 8.	A349437	1958-01-01	RE311966	1986-12-09	C. Newton Stokes|A||Paul J. Whiteley|A						
7f7fae18-89ed-d9b1-a99b-70ed5a08818a					C. Newton Stokes, Paul J. Whiteley & Anne Beattie.	Arithmetic in my world.  No. 8.	A351558	1958-01-01	RE310869	1986-11-19	C. Newton Stokes|A||Paul J. Whiteley|A						
45b3bb08-8671-c0aa-46af-10b163bfe27e					C. Newton Stokes, Belle W. Adams & Esther R. Unkel.	Arithmetic in my world.  No. 4.	A351559	1958-01-01	RE311969	1986-12-09	C. Newton Stokes|A||Belle W. Adams|A||Esther R. Unkel|A						
ae9918b1-c1dd-b95b-c6b4-61601ab8b501					C. Newton Stokes, Paul J. Whiteley & Anne Beattie.	Arithmetic in my world.  No. 8.	A351560	1958-01-01	RE310870	1986-11-19	C. Newton Stokes|A||Paul J. Whiteley|A						
760adf9c-9735-8f94-e624-4929cfc84407					C. Newton Stokes, Paul J. Whiteley & Humphrey C. Jackson.	Arithmetic in my world.  No. 7.	A351561	1958-01-01	RE310889	1986-11-19	C. Newton Stokes|A||Paul J. Whiteley|A||Humphrey C. Jackson|A						
d2ba5145-3539-9877-babd-933026999c4c					C. Newton Stokes, Belle W. Adams & Arthur R. DeLong.	Arithmetic in my world.  No. 6.	A351562	1958-01-01	RE310559	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Arthur R. DeLong|A						
1a238847-e658-6a57-3f49-32c9ec1889f2					C. Newton Stokes, Belle W. Adams & Esther R. Unkel.	Arithmetic in my world.  No. 5.	A351563	1958-01-01	RE311970	1986-12-09	C. Newton Stokes|A||Belle W. Adams|A||Esther R. Unkel|A						
78ec1fa6-b819-8951-7f73-1b12b2e4c527					Howard Simon.	Primer of drawing.	A359548	1958-01-01	RE317190	1986-12-29	Pony Simon|W						
3bdc1b60-1a8b-2413-d85f-5a63272b04bd					John L. Ashby.	1959 Christian year calendar.	A362614	1958-01-01	RE290313	1986-03-21	Paul A. Sieber|PCW						
2d2f66fc-99f1-2ba0-3be4-3cca13dd563d					John L. Ashby.	1959 Church kalendar.	A362615	1958-01-01	RE290312	1986-03-21	Paul A. Sieber|PCW						
06bdf3d5-221d-af6c-6350-5651970cb6a5					John L. Ashby.	1959 Churchman's ordo kalendar.	A362616	1958-01-01	RE290311	1986-03-21	Paul A. Sieber|PCW						
00afd6d2-2797-60da-26be-d42c0e13524f					John L. Ashby.	1959 Lutheran church calendar.	A373390	1958-01-01	RE290315	1986-03-21	Paul A. Sieber|PCW						
aa81faee-6c3b-1b70-f872-36360797a8b1					John L. Ashby.	1959 Lutheran church calendar.	A373391	1958-01-01	RE290314	1986-03-21	Paul A. Sieber|PCW						
c601672e-84b3-ebfe-326f-f6bf39cc9649					Anne Golon, pseud. of Anne Goloubinoff et Serge Golon, pseud. of Vsevolad Goloubinoff.	Marquise des Anges.  T. 2: Le Chemin de Versailles.	AF16959	1958-01-01	RE308477	1986-10-29	Anne Goloubinoff|W						
50e3809c-0a60-9f60-484b-9c739ec8e202						The New York times.  Vol. 107, no. 36502, Jan. 1, 1958.	B687449	1958-01-01	RE279227	1986-01-10	New York Times Company|PCW						
