entry_id	volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
f59255db-30c7-59d3-80d0-07e46cb5b363	27	1A	1	160	NEW JERSEY. LAWS, STATUTES, ETC.	New Jersey statutes annotated, permanent edition. Cumulative pamphlet. Dec45.		AA2656	1945-12-11	R546030	1973-02-26	West Pub. Co.|PWH						NEW JERSEY. LAWS, STATUTES, ETC. New Jersey statutes annotated, permanent edition. Cumulative pamphlet. © West Pub. Co. (PWH) Dec45. © 11Dec45; AA2656. 26Feb73; R546030.
f0872d43-1067-5ebb-911f-0067a9ba7c84	27	1A	1	161	NEW JERSEY. LAWS, STATUTES, ETC.	New Jersey statutes annotated, permanent edition. Cumulative pamphlet. Mar46.		AA10802	1946-03-29	R549345	1973-04-05	West Pub. Co.|PWH						NEW JERSEY. LAWS, STATUTES, ETC. New Jersey statutes annotated, permanent edition. Cumulative pamphlet. © West Pub. Co. (PWH) Mar46. © 29Mar46; AA10802. 5Apr73; R549345.
dc50cd74-ef71-5323-ae25-2ef92c42a962	27	1A	1	161	NEW JERSEY. LAWS, STATUTES, ETC.	New Jersey statutes annotated, permanent edition. 1945 cumulative annual pocket part.		AA491913	1945-08-20	R544252	1973-01-15	West Pub. Co.|PWH						NEW JERSEY. LAWS, STATUTES, ETC. New Jersey statutes annotated, permanent edition. 1945 cumulative annual pocket part. © 20Aug45; AA491913. West Pub. Co. (PWH); 15Jan73; R544252.
1045a3a3-7c65-5648-a709-402f3b7e4155	27	1A	1	161		NEW YORK ANNUAL DIGEST. Cumulative pamphlet. Nov45.		AA499605	1945-11-16	R546021	1973-02-26	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						NEW YORK ANNUAL DIGEST. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Nov45. © 16Nov45; AA499605. 26Feb73; R546021.
20c830b3-442d-593b-8598-f7e9b1683038	27	1A	1	161		NEW YORK ANNUAL DIGEST, 1945.		A190930	1945-10-25	R545977	1973-02-26	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						NEW YORK ANNUAL DIGEST, 1945. © 25Oct45; A190930. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 26Feb73; R545977.
3f14be25-26b4-557f-b1fd-ccdc1c3e72d0	27	1A	1	161		NEW YORK LAW OF CONTRACTS. Vol. 1-2, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire.		AA4654	1946-01-24	R549323	1973-04-05	West Pub. Co.|PWH						NEW YORK LAW OF CONTRACTS. Vol. 1-2, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire. © 24Jan46; AA4654. West Pub. Co. (PWH); 5Apr73; R549323.
5c783b6e-4e92-5f8c-b6cd-352437dc412b	27	1A	1	161		NEW YORK LAW OF DAMAGES. Vol. 1-2, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire.		AA4656	1946-01-24	R549325	1973-04-05	West Pub. Co.|PWH						NEW YORK LAW OF DAMAGES. Vol. 1-2, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire. © 24Jan46; AA4656. West Pub. Co. (PWH); 5Apr73; R549325.
cf91492a-3901-5f04-83c6-598688cde480	27	1A	1	161		NEW YORK LAW OF LANDLORD AND TENANT. Vol. 1-3, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire.		AA4655	1946-01-24	R549324	1973-04-05	West Pub. Co.|PWH						NEW YORK LAW OF LANDLORD AND TENANT. Vol. 1-3, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire. © 24Jan46; AA4655. West Pub. Co. (PWH); 5Apr73; R549324.
bae6bf46-6224-5720-8175-016e73ca9b82	27	1A	1	161		NEW YORK LAW OF WILLS. Vol. 1-2, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire.		AA4657	1946-01-24	R549326	1973-04-05	West Pub. Co.|PWH						NEW YORK LAW OF WILLS. Vol. 1-2, 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co., employer for hire. © 24Jan46; AA4657. West Pub. Co. (PWH); 5Apr73; R549326.
1a8a2250-46f9-5f08-b076-0685ab288f66	27	1A	1	161	NEW YORK (STATE) LAWS, STATUTES, ETC.	The consolidated laws of New York annotated. Appl. author: Edward Thompson Co. Book 16.		A190344	1945-09-29	R544229	1973-01-15	West Pub. Co.|PWH						NEW YORK (STATE) LAWS, STATUTES, ETC. The consolidated laws of New York annotated. Appl. author: Edward Thompson Co. © West Pub. Co. (PWH) Book 16. © 29Sep45; A190344. 15Jan73; R544229.
